Fecha,Consumo_kWh,Fecha,TPD,EDP,VE
2018-02-12 15:00:00,0.9420000000000001,2018-02-12 15:00:00,118.05,136.78,136.78
2018-02-12 16:00:00,0.937,2018-02-12 16:00:00,121.97,140.66,140.66
2018-02-12 17:00:00,0.977,2018-02-12 17:00:00,125.04,143.76,143.76
2018-02-12 18:00:00,1.053,2018-02-12 18:00:00,128.72,147.46,147.46
2018-02-12 19:00:00,1.183,2018-02-12 19:00:00,130.76,149.65,149.65
2018-02-12 20:00:00,1.238,2018-02-12 20:00:00,131.77,150.74,150.74
2018-02-12 21:00:00,1.205,2018-02-12 21:00:00,130.47,80.58,149.42
2018-02-12 22:00:00,1.042,2018-02-12 22:00:00,129.37,79.53,84.27
2018-02-12 23:00:00,0.828,2018-02-12 23:00:00,130.14,79.91,85.01
2018-02-13 00:00:00,1.379,2018-02-13 00:00:00,116.96,67.14,63.65
2018-02-13 01:00:00,0.222,2018-02-13 01:00:00,111.87,62.29,58.85
2018-02-13 02:00:00,0.106,2018-02-13 02:00:00,110.37,60.8,57.42
2018-02-13 03:00:00,0.134,2018-02-13 03:00:00,109.12,59.61,56.26
2018-02-13 04:00:00,0.157,2018-02-13 04:00:00,109.05,59.65,56.34
2018-02-13 05:00:00,0.11,2018-02-13 05:00:00,111.28,62.01,58.76
2018-02-13 06:00:00,1.754,2018-02-13 06:00:00,123.66,74.19,78.57
2018-02-13 07:00:00,1.8869999999999998,2018-02-13 07:00:00,125.62,76.77,80.62
2018-02-13 08:00:00,0.19699999999999998,2018-02-13 08:00:00,125.29,76.61,80.27
2018-02-13 09:00:00,0.141,2018-02-13 09:00:00,123.07,74.6,78.07
2018-02-13 10:00:00,0.094,2018-02-13 10:00:00,114.94,66.77,69.92
2018-02-13 11:00:00,0.09300000000000001,2018-02-13 11:00:00,111.5,130.06,66.42
2018-02-13 12:00:00,0.092,2018-02-13 12:00:00,111.71,130.33,130.33
2018-02-13 13:00:00,0.142,2018-02-13 13:00:00,107.89,126.49,126.49
2018-02-13 14:00:00,0.311,2018-02-13 14:00:00,106.55,125.19,125.19
2018-02-13 15:00:00,0.508,2018-02-13 15:00:00,107.89,126.54,126.54
2018-02-13 16:00:00,1.422,2018-02-13 16:00:00,112.33,130.96,130.96
2018-02-13 17:00:00,0.782,2018-02-13 17:00:00,117.3,135.96,135.96
2018-02-13 18:00:00,1.005,2018-02-13 18:00:00,125.03,143.81,143.81
2018-02-13 19:00:00,0.606,2018-02-13 19:00:00,127.51,146.31,146.31
2018-02-13 20:00:00,0.608,2018-02-13 20:00:00,128.23,147.17,147.17
2018-02-13 21:00:00,2.119,2018-02-13 21:00:00,126.07,76.43,145.04
2018-02-13 22:00:00,2.47,2018-02-13 22:00:00,113.86,64.66,68.68
2018-02-13 23:00:00,2.384,2018-02-13 23:00:00,109.04,59.7,63.73
2018-02-14 00:00:00,0.657,2018-02-14 00:00:00,107.27,57.9,54.7
2018-02-14 01:00:00,0.26899999999999996,2018-02-14 01:00:00,104.95,55.64,52.46
2018-02-14 02:00:00,0.299,2018-02-14 02:00:00,101.51,52.36,49.28
2018-02-14 03:00:00,0.243,2018-02-14 03:00:00,101.54,52.39,49.31
2018-02-14 04:00:00,0.242,2018-02-14 04:00:00,102.81,53.7,50.57
2018-02-14 05:00:00,0.266,2018-02-14 05:00:00,109.54,60.4,57.24
2018-02-14 06:00:00,1.002,2018-02-14 06:00:00,115.89,66.72,70.74
2018-02-14 07:00:00,1.0070000000000001,2018-02-14 07:00:00,123.85,74.92,78.82
2018-02-14 08:00:00,0.295,2018-02-14 08:00:00,120.78,72.24,75.8
2018-02-14 09:00:00,0.78,2018-02-14 09:00:00,119.71,71.34,74.69
2018-02-14 10:00:00,1.11,2018-02-14 10:00:00,112.97,64.81,67.94
2018-02-14 11:00:00,1.24,2018-02-14 11:00:00,110.18,128.79,65.15
2018-02-14 12:00:00,1.218,2018-02-14 12:00:00,109.42,128.03,128.03
2018-02-14 13:00:00,1.23,2018-02-14 13:00:00,108.12,126.77,126.77
2018-02-14 14:00:00,2.967,2018-02-14 14:00:00,107.4,126.05,126.05
2018-02-14 15:00:00,1.23,2018-02-14 15:00:00,108.12,126.71,126.71
2018-02-14 16:00:00,1.318,2018-02-14 16:00:00,107.68,126.33,126.33
2018-02-14 17:00:00,0.6579999999999999,2018-02-14 17:00:00,115.23,133.88,133.88
2018-02-14 18:00:00,0.54,2018-02-14 18:00:00,124.94,143.72,143.72
2018-02-14 19:00:00,0.475,2018-02-14 19:00:00,127.23,146.09,146.09
2018-02-14 20:00:00,1.273,2018-02-14 20:00:00,127.81,146.74,146.74
2018-02-14 21:00:00,2.9539999999999997,2018-02-14 21:00:00,124.77,75.12,143.73
2018-02-14 22:00:00,0.95,2018-02-14 22:00:00,111.15,62.11,65.96
2018-02-14 23:00:00,1.669,2018-02-14 23:00:00,108.71,59.49,63.48
2018-02-15 00:00:00,2.681,2018-02-15 00:00:00,107.96,58.62,55.43
2018-02-15 01:00:00,0.499,2018-02-15 01:00:00,105.49,56.25,53.05
2018-02-15 02:00:00,0.249,2018-02-15 02:00:00,105.4,56.11,52.92
2018-02-15 03:00:00,0.25,2018-02-15 03:00:00,105.73,56.42,53.18
2018-02-15 04:00:00,0.298,2018-02-15 04:00:00,107.86,58.57,55.34
2018-02-15 05:00:00,0.264,2018-02-15 05:00:00,110.14,60.98,57.8
2018-02-15 06:00:00,0.86,2018-02-15 06:00:00,120.68,71.26,75.49
2018-02-15 07:00:00,0.374,2018-02-15 07:00:00,123.03,74.13,78.0
2018-02-15 08:00:00,1.419,2018-02-15 08:00:00,123.36,74.73,78.39
2018-02-15 09:00:00,1.124,2018-02-15 09:00:00,123.15,74.6,78.12
2018-02-15 10:00:00,0.23600000000000002,2018-02-15 10:00:00,122.99,74.45,78.03
2018-02-15 11:00:00,0.257,2018-02-15 11:00:00,121.93,140.62,76.91
2018-02-15 12:00:00,3.3939999999999997,2018-02-15 12:00:00,123.4,142.17,142.17
2018-02-15 13:00:00,2.715,2018-02-15 13:00:00,123.52,142.36,142.36
2018-02-15 14:00:00,2.3040000000000003,2018-02-15 14:00:00,124.27,143.04,143.04
2018-02-15 15:00:00,1.254,2018-02-15 15:00:00,124.25,143.09,143.09
2018-02-15 16:00:00,1.564,2018-02-15 16:00:00,124.32,143.09,143.09
2018-02-15 17:00:00,0.34600000000000003,2018-02-15 17:00:00,125.21,144.0,144.0
2018-02-15 18:00:00,0.3720000000000001,2018-02-15 18:00:00,128.55,147.43,147.43
2018-02-15 19:00:00,0.552,2018-02-15 19:00:00,130.88,149.77,149.77
2018-02-15 20:00:00,1.1440000000000001,2018-02-15 20:00:00,131.93,150.9,150.9
2018-02-15 21:00:00,1.61,2018-02-15 21:00:00,130.21,80.26,149.22
2018-02-15 22:00:00,2.4,2018-02-15 22:00:00,128.56,78.68,83.43
2018-02-15 23:00:00,2.22,2018-02-15 23:00:00,129.95,79.73,84.83
2018-02-16 00:00:00,0.633,2018-02-16 00:00:00,129.73,79.39,75.52
2018-02-16 01:00:00,0.506,2018-02-16 01:00:00,126.41,76.15,72.33
2018-02-16 02:00:00,0.442,2018-02-16 02:00:00,121.55,71.45,67.78
2018-02-16 03:00:00,0.415,2018-02-16 03:00:00,119.7,69.69,66.07
2018-02-16 04:00:00,0.409,2018-02-16 04:00:00,123.48,73.42,69.74
2018-02-16 05:00:00,0.424,2018-02-16 05:00:00,128.97,78.93,75.19
2018-02-16 06:00:00,0.506,2018-02-16 06:00:00,128.84,79.09,83.74
2018-02-16 07:00:00,0.703,2018-02-16 07:00:00,127.44,78.39,82.42
2018-02-16 08:00:00,0.858,2018-02-16 08:00:00,126.54,77.74,81.57
2018-02-16 09:00:00,0.9440000000000001,2018-02-16 09:00:00,125.88,77.24,80.93
2018-02-16 10:00:00,1.01,2018-02-16 10:00:00,124.94,76.34,79.99
2018-02-16 11:00:00,1.015,2018-02-16 11:00:00,123.99,142.76,79.04
2018-02-16 12:00:00,1.021,2018-02-16 12:00:00,124.3,143.01,143.01
2018-02-16 13:00:00,1.037,2018-02-16 13:00:00,124.26,143.03,143.03
2018-02-16 14:00:00,0.998,2018-02-16 14:00:00,123.38,142.22,142.22
2018-02-16 15:00:00,0.9540000000000001,2018-02-16 15:00:00,124.49,143.27,143.27
2018-02-16 16:00:00,0.9440000000000001,2018-02-16 16:00:00,124.42,143.19,143.19
2018-02-16 17:00:00,0.975,2018-02-16 17:00:00,125.19,143.97,143.97
2018-02-16 18:00:00,1.041,2018-02-16 18:00:00,127.98,146.78,146.78
2018-02-16 19:00:00,1.14,2018-02-16 19:00:00,128.59,147.46,147.46
2018-02-16 20:00:00,1.166,2018-02-16 20:00:00,129.66,148.61,148.61
2018-02-16 21:00:00,1.147,2018-02-16 21:00:00,130.52,80.49,149.53
2018-02-16 22:00:00,1.026,2018-02-16 22:00:00,130.7,80.73,85.64
2018-02-16 23:00:00,0.86,2018-02-16 23:00:00,131.73,81.29,86.58
2018-02-17 00:00:00,0.5579999999999999,2018-02-17 00:00:00,131.28,80.79,76.77
2018-02-17 01:00:00,0.251,2018-02-17 01:00:00,128.52,78.03,74.1
2018-02-17 02:00:00,0.203,2018-02-17 02:00:00,121.11,70.85,67.15
2018-02-17 03:00:00,0.166,2018-02-17 03:00:00,116.8,66.75,63.13
2018-02-17 04:00:00,0.139,2018-02-17 04:00:00,113.67,63.83,60.35
2018-02-17 05:00:00,0.11199999999999999,2018-02-17 05:00:00,112.53,62.86,59.41
2018-02-17 06:00:00,0.105,2018-02-17 06:00:00,113.05,63.41,67.84
2018-02-17 07:00:00,0.168,2018-02-17 07:00:00,112.03,62.78,66.85
2018-02-17 08:00:00,1.2790000000000001,2018-02-17 08:00:00,116.9,67.58,71.74
2018-02-17 09:00:00,1.348,2018-02-17 09:00:00,125.8,76.37,80.73
2018-02-17 10:00:00,0.24,2018-02-17 10:00:00,115.8,66.76,70.64
2018-02-17 11:00:00,0.264,2018-02-17 11:00:00,111.43,130.15,66.28
2018-02-17 12:00:00,0.287,2018-02-17 12:00:00,111.54,130.27,130.27
2018-02-17 13:00:00,0.22899999999999998,2018-02-17 13:00:00,109.78,128.54,128.54
2018-02-17 14:00:00,0.23600000000000002,2018-02-17 14:00:00,109.34,128.15,128.15
2018-02-17 15:00:00,0.26899999999999996,2018-02-17 15:00:00,108.08,126.88,126.88
2018-02-17 16:00:00,0.28300000000000003,2018-02-17 16:00:00,110.35,129.16,129.16
2018-02-17 17:00:00,0.23199999999999998,2018-02-17 17:00:00,115.44,134.31,134.31
2018-02-17 18:00:00,0.402,2018-02-17 18:00:00,124.01,142.9,142.9
2018-02-17 19:00:00,0.287,2018-02-17 19:00:00,127.61,146.6,146.6
2018-02-17 20:00:00,0.263,2018-02-17 20:00:00,127.84,146.83,146.83
2018-02-17 21:00:00,0.233,2018-02-17 21:00:00,123.85,73.9,142.92
2018-02-17 22:00:00,0.5489999999999999,2018-02-17 22:00:00,123.31,73.32,78.13
2018-02-17 23:00:00,2.8310000000000004,2018-02-17 23:00:00,125.7,75.41,80.48
2018-02-18 00:00:00,1.389,2018-02-18 00:00:00,117.1,67.09,63.46
2018-02-18 01:00:00,0.444,2018-02-18 01:00:00,113.99,64.02,60.45
2018-02-18 02:00:00,0.263,2018-02-18 02:00:00,112.88,62.97,59.38
2018-02-18 03:00:00,0.302,2018-02-18 03:00:00,112.68,62.78,59.2
2018-02-18 04:00:00,0.253,2018-02-18 04:00:00,113.12,63.2,59.7
2018-02-18 05:00:00,0.242,2018-02-18 05:00:00,113.15,63.28,59.78
2018-02-18 06:00:00,0.265,2018-02-18 06:00:00,113.93,64.08,68.66
2018-02-18 07:00:00,0.5,2018-02-18 07:00:00,113.22,63.63,67.97
2018-02-18 08:00:00,0.23800000000000002,2018-02-18 08:00:00,115.68,66.04,70.41
2018-02-18 09:00:00,1.044,2018-02-18 09:00:00,119.1,69.49,73.89
2018-02-18 10:00:00,2.079,2018-02-18 10:00:00,123.03,73.25,77.85
2018-02-18 11:00:00,1.565,2018-02-18 11:00:00,118.62,137.52,73.44
2018-02-18 12:00:00,2.825,2018-02-18 12:00:00,123.53,142.47,142.47
2018-02-18 13:00:00,2.615,2018-02-18 13:00:00,119.38,138.28,138.28
2018-02-18 14:00:00,1.854,2018-02-18 14:00:00,114.53,133.45,133.45
2018-02-18 15:00:00,1.709,2018-02-18 15:00:00,112.17,131.06,131.06
2018-02-18 16:00:00,0.7609999999999999,2018-02-18 16:00:00,114.51,133.42,133.42
2018-02-18 17:00:00,0.67,2018-02-18 17:00:00,123.51,142.45,142.45
2018-02-18 18:00:00,0.547,2018-02-18 18:00:00,128.8,147.81,147.81
2018-02-18 19:00:00,1.0190000000000001,2018-02-18 19:00:00,130.01,149.02,149.02
2018-02-18 20:00:00,1.035,2018-02-18 20:00:00,130.64,149.66,149.66
2018-02-18 21:00:00,1.143,2018-02-18 21:00:00,131.31,81.1,150.39
2018-02-18 22:00:00,1.4580000000000002,2018-02-18 22:00:00,129.54,79.4,84.36
2018-02-18 23:00:00,0.826,2018-02-18 23:00:00,129.17,78.72,83.98
2018-02-19 00:00:00,2.0780000000000003,2018-02-19 00:00:00,118.48,68.4,64.73
2018-02-19 01:00:00,1.425,2018-02-19 01:00:00,114.52,64.58,60.98
2018-02-19 02:00:00,0.371,2018-02-19 02:00:00,114.33,64.35,60.76
2018-02-19 03:00:00,0.392,2018-02-19 03:00:00,114.3,64.32,60.74
2018-02-19 04:00:00,0.41600000000000004,2018-02-19 04:00:00,114.13,64.33,60.83
2018-02-19 05:00:00,0.39,2018-02-19 05:00:00,121.29,71.52,68.0
2018-02-19 06:00:00,1.7280000000000002,2018-02-19 06:00:00,127.42,77.8,82.34
2018-02-19 07:00:00,1.085,2018-02-19 07:00:00,126.55,77.54,81.47
2018-02-19 08:00:00,0.612,2018-02-19 08:00:00,125.87,77.09,80.9
2018-02-19 09:00:00,0.8759999999999999,2018-02-19 09:00:00,125.04,76.36,80.02
2018-02-19 10:00:00,0.465,2018-02-19 10:00:00,124.39,75.81,79.38
2018-02-19 11:00:00,0.41,2018-02-19 11:00:00,123.55,142.25,78.55
2018-02-19 12:00:00,0.415,2018-02-19 12:00:00,124.23,143.01,143.01
2018-02-19 13:00:00,0.452,2018-02-19 13:00:00,124.07,142.85,142.85
2018-02-19 14:00:00,0.469,2018-02-19 14:00:00,123.31,142.08,142.08
2018-02-19 15:00:00,1.004,2018-02-19 15:00:00,120.58,139.32,139.32
2018-02-19 16:00:00,1.771,2018-02-19 16:00:00,123.48,142.19,142.19
2018-02-19 17:00:00,1.069,2018-02-19 17:00:00,126.22,144.94,144.94
2018-02-19 18:00:00,1.291,2018-02-19 18:00:00,126.43,145.15,145.15
2018-02-19 19:00:00,0.478,2018-02-19 19:00:00,126.02,144.87,144.87
2018-02-19 20:00:00,0.496,2018-02-19 20:00:00,126.75,145.68,145.68
2018-02-19 21:00:00,0.541,2018-02-19 21:00:00,123.99,74.37,142.88
2018-02-19 22:00:00,1.5190000000000001,2018-02-19 22:00:00,118.66,69.26,73.51
2018-02-19 23:00:00,2.177,2018-02-19 23:00:00,119.01,69.28,73.82
2018-02-20 00:00:00,0.616,2018-02-20 00:00:00,114.74,65.02,61.6
2018-02-20 01:00:00,0.486,2018-02-20 01:00:00,109.46,59.99,56.63
2018-02-20 02:00:00,0.43,2018-02-20 02:00:00,109.57,60.04,56.68
2018-02-20 03:00:00,0.406,2018-02-20 03:00:00,109.09,59.58,56.23
2018-02-20 04:00:00,0.401,2018-02-20 04:00:00,109.63,60.21,56.88
2018-02-20 05:00:00,0.41700000000000004,2018-02-20 05:00:00,114.32,64.92,61.58
2018-02-20 06:00:00,0.499,2018-02-20 06:00:00,127.51,77.88,82.43
2018-02-20 07:00:00,0.7,2018-02-20 07:00:00,127.28,78.37,82.28
2018-02-20 08:00:00,0.847,2018-02-20 08:00:00,125.89,77.19,80.87
2018-02-20 09:00:00,0.925,2018-02-20 09:00:00,123.13,74.66,78.13
2018-02-20 10:00:00,0.995,2018-02-20 10:00:00,118.94,70.65,73.93
2018-02-20 11:00:00,1.0,2018-02-20 11:00:00,115.79,134.38,70.72
2018-02-20 12:00:00,1.0090000000000001,2018-02-20 12:00:00,114.06,132.7,132.7
2018-02-20 13:00:00,1.026,2018-02-20 13:00:00,113.55,132.19,132.19
2018-02-20 14:00:00,0.98,2018-02-20 14:00:00,113.0,131.68,131.68
2018-02-20 15:00:00,0.9309999999999999,2018-02-20 15:00:00,113.07,131.76,131.76
2018-02-20 16:00:00,0.927,2018-02-20 16:00:00,116.4,135.05,135.05
2018-02-20 17:00:00,0.97,2018-02-20 17:00:00,123.28,141.98,141.98
2018-02-20 18:00:00,1.0490000000000002,2018-02-20 18:00:00,124.08,142.85,142.85
2018-02-20 19:00:00,1.175,2018-02-20 19:00:00,125.15,143.93,143.93
2018-02-20 20:00:00,1.228,2018-02-20 20:00:00,123.9,142.8,142.8
2018-02-20 21:00:00,1.192,2018-02-20 21:00:00,116.72,67.46,135.61
2018-02-20 22:00:00,1.033,2018-02-20 22:00:00,110.98,61.9,65.79
2018-02-20 23:00:00,0.8240000000000001,2018-02-20 23:00:00,109.58,60.21,64.27
2018-02-21 00:00:00,1.0290000000000001,2018-02-21 00:00:00,105.58,56.29,53.13
2018-02-21 01:00:00,0.17300000000000001,2018-02-21 01:00:00,105.23,55.91,52.72
2018-02-21 02:00:00,0.113,2018-02-21 02:00:00,104.01,54.74,51.59
2018-02-21 03:00:00,0.109,2018-02-21 03:00:00,103.29,54.06,50.93
2018-02-21 04:00:00,0.10800000000000001,2018-02-21 04:00:00,105.61,56.37,53.16
2018-02-21 05:00:00,0.16399999999999998,2018-02-21 05:00:00,112.79,63.51,60.26
2018-02-21 06:00:00,1.8319999999999999,2018-02-21 06:00:00,127.12,77.5,82.02
2018-02-21 07:00:00,1.7590000000000001,2018-02-21 07:00:00,126.08,77.07,81.06
2018-02-21 08:00:00,0.11599999999999999,2018-02-21 08:00:00,124.6,75.94,79.64
2018-02-21 09:00:00,0.10099999999999999,2018-02-21 09:00:00,118.67,70.33,73.65
2018-02-21 10:00:00,0.098,2018-02-21 10:00:00,112.0,63.86,66.96
2018-02-21 11:00:00,0.132,2018-02-21 11:00:00,109.46,128.07,64.44
2018-02-21 12:00:00,0.314,2018-02-21 12:00:00,107.88,126.48,126.48
2018-02-21 13:00:00,0.311,2018-02-21 13:00:00,106.52,125.16,125.16
2018-02-21 14:00:00,0.622,2018-02-21 14:00:00,107.47,126.12,126.12
2018-02-21 15:00:00,0.9420000000000001,2018-02-21 15:00:00,109.75,128.36,128.36
2018-02-21 16:00:00,1.379,2018-02-21 16:00:00,118.5,137.23,137.23
2018-02-21 17:00:00,0.426,2018-02-21 17:00:00,122.6,141.3,141.3
2018-02-21 18:00:00,0.302,2018-02-21 18:00:00,124.92,143.7,143.7
2018-02-21 19:00:00,0.354,2018-02-21 19:00:00,125.72,144.57,144.57
2018-02-21 20:00:00,0.22899999999999998,2018-02-21 20:00:00,126.87,145.79,145.79
2018-02-21 21:00:00,1.021,2018-02-21 21:00:00,122.56,73.0,141.5
2018-02-21 22:00:00,1.87,2018-02-21 22:00:00,115.04,65.84,69.86
2018-02-21 23:00:00,2.463,2018-02-21 23:00:00,113.25,63.83,68.04
2018-02-22 00:00:00,0.614,2018-02-22 00:00:00,110.56,61.1,57.84
2018-02-22 01:00:00,0.485,2018-02-22 01:00:00,109.38,59.96,56.65
2018-02-22 02:00:00,0.429,2018-02-22 02:00:00,109.75,60.27,56.94
2018-02-22 03:00:00,0.405,2018-02-22 03:00:00,109.65,60.17,56.8
2018-02-22 04:00:00,0.4,2018-02-22 04:00:00,109.7,60.32,57.04
2018-02-22 05:00:00,0.41600000000000004,2018-02-22 05:00:00,117.34,67.87,64.5
2018-02-22 06:00:00,0.4970000000000001,2018-02-22 06:00:00,126.84,77.17,81.68
2018-02-22 07:00:00,0.698,2018-02-22 07:00:00,126.19,77.18,81.17
2018-02-22 08:00:00,0.8440000000000001,2018-02-22 08:00:00,123.94,75.29,78.97
2018-02-22 09:00:00,0.9209999999999999,2018-02-22 09:00:00,122.21,73.69,77.18
2018-02-22 10:00:00,0.991,2018-02-22 10:00:00,122.2,73.67,77.23
2018-02-22 11:00:00,0.996,2018-02-22 11:00:00,119.27,137.95,74.24
2018-02-22 12:00:00,1.006,2018-02-22 12:00:00,116.82,135.53,135.53
2018-02-22 13:00:00,1.023,2018-02-22 13:00:00,112.74,131.48,131.48
2018-02-22 14:00:00,0.976,2018-02-22 14:00:00,110.74,129.41,129.41
2018-02-22 15:00:00,0.927,2018-02-22 15:00:00,113.01,131.76,131.76
2018-02-22 16:00:00,0.924,2018-02-22 16:00:00,120.48,139.23,139.23
2018-02-22 17:00:00,0.966,2018-02-22 17:00:00,124.27,143.05,143.05
2018-02-22 18:00:00,1.045,2018-02-22 18:00:00,126.62,145.49,145.49
2018-02-22 19:00:00,1.171,2018-02-22 19:00:00,127.21,146.08,146.08
2018-02-22 20:00:00,1.224,2018-02-22 20:00:00,128.42,147.35,147.35
2018-02-22 21:00:00,1.188,2018-02-22 21:00:00,127.21,77.39,146.19
2018-02-22 22:00:00,1.03,2018-02-22 22:00:00,124.11,74.41,78.96
2018-02-22 23:00:00,0.821,2018-02-22 23:00:00,117.35,67.69,72.15
2018-02-23 00:00:00,0.466,2018-02-23 00:00:00,115.17,65.49,62.05
2018-02-23 01:00:00,0.242,2018-02-23 01:00:00,113.38,63.73,60.29
2018-02-23 02:00:00,0.23800000000000002,2018-02-23 02:00:00,112.27,62.61,59.22
2018-02-23 03:00:00,0.29,2018-02-23 03:00:00,112.31,62.65,59.25
2018-02-23 04:00:00,0.214,2018-02-23 04:00:00,113.33,63.74,60.35
2018-02-23 05:00:00,0.106,2018-02-23 05:00:00,120.16,70.5,67.01
2018-02-23 06:00:00,1.646,2018-02-23 06:00:00,129.9,80.1,84.8
2018-02-23 07:00:00,1.065,2018-02-23 07:00:00,128.76,79.66,83.75
2018-02-23 08:00:00,0.209,2018-02-23 08:00:00,126.13,77.34,81.16
2018-02-23 09:00:00,0.336,2018-02-23 09:00:00,125.23,76.62,80.28
2018-02-23 10:00:00,0.804,2018-02-23 10:00:00,124.59,76.0,79.64
2018-02-23 11:00:00,0.57,2018-02-23 11:00:00,124.72,143.5,79.78
2018-02-23 12:00:00,0.317,2018-02-23 12:00:00,125.38,144.09,144.09
2018-02-23 13:00:00,0.319,2018-02-23 13:00:00,125.46,144.24,144.24
2018-02-23 14:00:00,0.851,2018-02-23 14:00:00,125.7,144.56,144.56
2018-02-23 15:00:00,1.423,2018-02-23 15:00:00,125.8,144.58,144.58
2018-02-23 16:00:00,1.329,2018-02-23 16:00:00,125.33,144.11,144.11
2018-02-23 17:00:00,1.0290000000000001,2018-02-23 17:00:00,126.51,145.3,145.3
2018-02-23 18:00:00,1.237,2018-02-23 18:00:00,130.43,149.25,149.25
2018-02-23 19:00:00,0.64,2018-02-23 19:00:00,131.03,149.92,149.92
2018-02-23 20:00:00,1.8869999999999998,2018-02-23 20:00:00,131.31,150.27,150.27
2018-02-23 21:00:00,2.059,2018-02-23 21:00:00,130.67,80.63,149.68
2018-02-23 22:00:00,1.685,2018-02-23 22:00:00,130.86,80.88,85.8
2018-02-23 23:00:00,1.0290000000000001,2018-02-23 23:00:00,132.07,81.61,86.92
2018-02-24 00:00:00,0.6579999999999999,2018-02-24 00:00:00,131.36,80.86,76.84
2018-02-24 01:00:00,0.5329999999999999,2018-02-24 01:00:00,129.04,78.53,74.58
2018-02-24 02:00:00,0.46,2018-02-24 02:00:00,125.72,75.24,71.41
2018-02-24 03:00:00,0.42100000000000004,2018-02-24 03:00:00,124.01,73.61,69.77
2018-02-24 04:00:00,0.405,2018-02-24 04:00:00,123.47,73.16,69.39
2018-02-24 05:00:00,0.406,2018-02-24 05:00:00,124.77,74.52,70.7
2018-02-24 06:00:00,0.4320000000000001,2018-02-24 06:00:00,127.61,77.3,82.49
2018-02-24 07:00:00,0.4920000000000001,2018-02-24 07:00:00,122.3,72.62,77.19
2018-02-24 08:00:00,0.625,2018-02-24 08:00:00,127.81,78.03,82.71
